Feature,Importance
Bwd Packet Length Mean,0.09649411234415267
Packet Length Mean,0.06698421626905587
Bwd Packet Length Std,0.05708561250901803
Average Packet Size,0.056786097233141215
Destination Port,0.052933789718228284
Bwd Packet Length Max,0.04962959491934713
Max Packet Length,0.04313244095988788
Packet Length Variance,0.04178612952127497
Fwd IAT Std,0.039018483224863926
Avg Bwd Segment Size,0.037797600494361545
Avg Fwd Segment Size,0.03120224956942048
Total Length of Bwd Packets,0.028850671282373983
Flow IAT Max,0.024257237116941312
Fwd Packet Length Max,0.02409066314346675
Packet Length Std,0.023889801794029136
Init_Win_bytes_forward,0.023620036165175436
Fwd Packet Length Mean,0.02043790855091989
Subflow Bwd Bytes,0.020365310112314176
Bwd Packets/s,0.017406570102242225
Total Backward Packets,0.017091272471496825
Bwd Header Length,0.016385975197446077
Subflow Bwd Packets,0.016336446113066366
Fwd IAT Mean,0.01628409256968192
Init_Win_bytes_backward,0.014053858609153688
Fwd IAT Max,0.012840284357526816
Flow IAT Mean,0.012547282975064761
Subflow Fwd Bytes,0.012526371093927104
Total Length of Fwd Packets,0.011171402858195957
Fwd Header Length,0.010537201513000652
Idle Max,0.009881217265226963
Min Packet Length,0.007582616065823106
Fwd Packet Length Min,0.007359619238227473
Fwd Header Length.1,0.0069109674881281564
Total Fwd Packets,0.006358725321274186
Down/Up Ratio,0.005309972962387269
Idle Min,0.005127380574758495
Subflow Fwd Packets,0.004719813413086928
FIN Flag Count,0.0038647830439185343
Flow Packets/s,0.00351515879016475
Flow IAT Min,0.0033600253892785373
URG Flag Count,0.003246952169545084
Fwd IAT Min,0.003208188637031912
Flow IAT Std,0.0027972951948084545
Fwd Packets/s,0.0026368918409274463
Flow Duration,0.0025400314405962156
Fwd IAT Total,0.002416112722806149
Bwd IAT Min,0.0022669166083996387
act_data_pkt_fwd,0.0021255652861757097
Active Max,0.0019069825775148846
min_seg_size_forward,0.0017884537730806307
Idle Mean,0.0016742033403648305
Bwd IAT Mean,0.0014636324256800204
ACK Flag Count,0.0013067477076961597
Active Std,0.001255368388640319
Fwd Packet Length Std,0.0012486331780631253
Bwd IAT Std,0.0012033339937904948
Flow Bytes/s,0.0011661507572343305
Active Mean,0.0011567207223798263
Bwd IAT Total,0.0010196113644364566
Bwd Packet Length Min,0.0009724059888205854
Bwd IAT Max,0.000926417931655715
Active Min,0.0008030776920380764
PSH Flag Count,0.0006277667293470508
Idle Std,0.00030669857638943173
Fwd PSH Flags,0.00022000714691476926
SYN Flag Count,0.00018284146461318383
ECE Flag Count,0.0
RST Flag Count,0.0
