Label,Total Fwd Packets,Total Backward Packets,total_packets,Flow Duration,duration_seconds,packets_per_10s
DoS Hulk,16,11,27,7077441,7.077441,27.0
DoS GoldenEye,13,8,21,8912448,8.912448,21.0
DoS GoldenEye,15,8,23,11835187,11.835187,19.433575489766238
DoS GoldenEye,12,7,19,8619570,8.61957,19.0
DoS GoldenEye,12,7,19,8915666,8.915666,19.0
DoS GoldenEye,12,6,18,8523850,8.52385,18.0
DoS GoldenEye,11,7,18,8518969,8.518969,18.0
DoS GoldenEye,12,6,18,9810340,9.81034,18.0
DoS GoldenEye,14,6,20,11279116,11.279116,17.731886080433963
DoS GoldenEye,11,7,18,10332520,10.33252,17.420726018434998
DoS GoldenEye,11,7,18,10520079,10.520079,17.11013767101939
DoS GoldenEye,11,6,17,9816831,9.816831,17.0
DoS GoldenEye,11,6,17,9993898,9.993898,17.0
DoS GoldenEye,9,8,17,5009473,5.009473,17.0
DoS GoldenEye,10,7,17,9522300,9.5223,17.0
DoS GoldenEye,13,6,19,11273045,11.273045,16.85436366128229
DoS GoldenEye,11,7,18,10683976,10.683976,16.847660458990173
DoS GoldenEye,11,8,19,11318554,11.318554,16.786596591755448
DoS GoldenEye,11,8,19,11341454,11.341454,16.7527020785871
DoS GoldenEye,12,7,19,11396057,11.396057,16.672433281090115
