feature,minimum,p01,p05,median,p95,p99,maximum
Total Length of Fwd Packets,0.0,0.0,0.0,82.0,1631.0,9894.849999999977,1224076.0
Total Length of Bwd Packets,0.0,0.0,0.0,188.0,11595.0,53680.0,627000000.0
Fwd Packet Length Max,0.0,0.0,0.0,46.0,581.0,2896.0,24820.0
Fwd Packet Length Min,0.0,0.0,0.0,0.0,51.0,72.0,2065.0
Fwd Packet Length Mean,0.0,0.0,0.0,41.0,144.3333333,661.0,4640.757576
Fwd Packet Length Std,0.0,0.0,0.0,0.0,224.527364125,1020.342032,6429.190773
Bwd Packet Length Max,0.0,0.0,0.0,113.0,7240.0,10136.0,19530.0
Bwd Packet Length Min,0.0,0.0,0.0,0.0,162.0,241.0,1983.0
Bwd Packet Length Mean,0.0,0.0,0.0,102.0,1932.5,2319.0,3877.333333
Bwd Packet Length Std,0.0,0.0,0.0,0.0,3126.682571,4414.366206,6715.738331
Flow Bytes/s,-12000000.0,0.0,0.0,520.8659528999999,2062084.80375,12300000.0,2070000000.0
Min Packet Length,0.0,0.0,0.0,0.0,51.0,70.0,1448.0
Max Packet Length,0.0,0.0,0.0,124.0,7240.0,10136.0,24820.0
Packet Length Mean,0.0,0.0,0.0,70.66666667,925.2307692,1195.4,2279.754386
Packet Length Std,0.0,0.0,0.0,43.8178046,2140.898151,2798.31305,4361.98708
Packet Length Variance,0.0,0.0,0.0,1920.0,4583444.891,7830555.923,19000000.0
Average Packet Size,0.0,0.0,0.0,91.75,1000.833333,1327.888889,2612.0
Avg Fwd Segment Size,0.0,0.0,0.0,41.0,144.3333333,661.0,4640.757576
Avg Bwd Segment Size,0.0,0.0,0.0,102.0,1932.5,2319.0,3877.333333
Subflow Fwd Bytes,0.0,0.0,0.0,82.0,1631.0,9894.849999999977,1224076.0
Subflow Bwd Bytes,0.0,0.0,0.0,188.0,11595.0,53680.0,627046409.0
